pipeline,generator,generator_label,embedder,embedder_label,top_k,sas,grounded_sas_hit,grounded_sas_all
P2,gpt-oss:20b,GPT-OSS:20B,all-MiniLM-L6-v2,MiniLM-L6,5,0.48915394046811395,0.4876350523458876,0.26712554233919183
P2,gpt-oss:20b,GPT-OSS:20B,qwen3-embedding:4b,QwenEmb-4B,10,0.48541588125979035,0.4851889904772102,0.3359731676532949
P2,gpt-oss:20b,GPT-OSS:20B,all-MiniLM-L6-v2,MiniLM-L6,10,0.47995761292145017,0.47816306675399045,0.2887236827789959
P2,gpt-oss:20b,GPT-OSS:20B,qwen3-embedding:4b,QwenEmb-4B,5,0.47260574709065256,0.4721432703603059,0.27775701299496
P2,gpt-oss:20b,GPT-OSS:20B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.35499171879340596,0.34346929354048455,0.1252041534503545
P2,gpt-oss:20b,GPT-OSS:20B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.33476088383805847,0.32203459259002437,0.09941998499468149
P2,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,10,0.5405003242902457,0.5402747948393226,0.3818552829027176
P2,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,5,0.5245251580178738,0.5241211999151856,0.31812783309072257
P2,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,5,0.5151567193977534,0.5135041623208672,0.29663753834925594
P2,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,10,0.5062767810411751,0.5058544164523482,0.3315114264022559
P2,gemma3:12b,Gemma3:12B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.35825454497896136,0.35032248524203896,0.1212800955325365
P2,gemma3:12b,Gemma3:12B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.34563798369653526,0.33332781806960704,0.10273475734889508
P2,gemma3:4b,Gemma3:4B,qwen3-embedding:4b,QwenEmb-4B,5,0.5158118809312582,0.5154050697796047,0.30576021609269083
P2,gemma3:4b,Gemma3:4B,all-MiniLM-L6-v2,MiniLM-L6,5,0.5121670465096831,0.510138358188793,0.28617016415297986
P2,gemma3:4b,Gemma3:4B,qwen3-embedding:4b,QwenEmb-4B,10,0.5058122207559645,0.505128559326753,0.35546443694643676
P2,gemma3:4b,Gemma3:4B,all-MiniLM-L6-v2,MiniLM-L6,10,0.4952349949311465,0.4946327650863677,0.31431956081837414
P2,gemma3:4b,Gemma3:4B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.3337635852638632,0.32719335907138886,0.11473355200514197
P2,gemma3:4b,Gemma3:4B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.3243292722254992,0.31616079062223434,0.09585440094769002
P2,granite4:7b-a1b-h,Granite4:7B,qwen3-embedding:4b,QwenEmb-4B,10,0.49987210500612855,0.49139541257172825,0.32296049230359497
P2,granite4:7b-a1b-h,Granite4:7B,qwen3-embedding:4b,QwenEmb-4B,5,0.48496792577393355,0.479599505931139,0.2718932058420032
P2,granite4:7b-a1b-h,Granite4:7B,all-MiniLM-L6-v2,MiniLM-L6,10,0.47179743212275205,0.46836828454956414,0.2864343472737819
P2,granite4:7b-a1b-h,Granite4:7B,all-MiniLM-L6-v2,MiniLM-L6,5,0.4668605384491384,0.46191535285674035,0.24810199356637896
P2,granite4:7b-a1b-h,Granite4:7B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.36576433590427043,0.320989153964445,0.10691654763743282
P2,granite4:7b-a1b-h,Granite4:7B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.3454337195269763,0.31022623328492044,0.08637420273758471
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,qwen3-embedding:4b,QwenEmb-4B,10,0.6606531109400093,0.649789640057832,0.4350511317104101
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,qwen3-embedding:4b,QwenEmb-4B,5,0.6344975545406342,0.6270574508849531,0.36505030311457815
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,all-MiniLM-L6-v2,MiniLM-L6,5,0.6225220911521464,0.6079253904670477,0.3291949136070907
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,all-MiniLM-L6-v2,MiniLM-L6,10,0.6077593887262046,0.6002829548474401,0.3791538001615554
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,nomic-embed-text:v1.5,Nomic-v1.5,5,0.4921690662074834,0.39958754197880625,0.11323106223903597
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,nomic-embed-text:v1.5,Nomic-v1.5,10,0.4720349073819816,0.40737715339288116,0.13110086763650178
P2,Maternion/lfm2:8b,LFM2:8B,all-MiniLM-L6-v2,MiniLM-L6,10,0.5059916322436183,0.495400495423004,0.304818980012089
